,Cluster 0,Cluster 1,Cluster 3,Cluster 2,Cluster 4
count,314.0,45.0,232.0,82.0,5.0
mean,0.7,13.6,3.3,7.6,23.7
std,0.7322033974396199,1.7400465100974378,0.9407482047637511,1.4551530557927184,3.6233221484538243
min,0.0,10.823733295210733,2.0269020313099735,5.555672418545422,19.21962400409722
25%,0.0,12.137203896595816,2.542335317381454,6.354731164219803,22.191837822923986
50%,0.507299155992246,13.282758635512714,3.1326697664334886,7.6362547406428725,22.740647710594303
75%,1.4231789866769529,14.817014902863077,3.963151247710891,8.866074525937172,25.287161993095868
max,2.015786329641639,17.09857332846122,5.45822162200234,10.426112039458209,28.870428815198313
