,Suburb,Nearest Train Station,Distance(km),Latitude,Longitude,Cluster_Labels_Dist_0,Cluster_Labels_Dist_1,Cluster_Labels_Dist_2,Cluster_Labels_Dist_3,Cluster_Labels_Dist_4
52,Berowra,Berowra Railway Station,0.0,-33.6264261,151.1473881,1,0,0,0,0
53,Berowra Creek,Thornleigh Railway Station,2.1052363596716357,-33.7109343,151.0640894,0,0,0,1,0
54,Berowra Heights,Berowra Railway Station,2.0925382394814256,-33.6095775,151.13732209999998,0,0,0,1,0
55,Berowra Waters,Berowra Railway Station,3.760298771021223,-33.599417700000004,151.1229517,0,0,0,1,0
56,Berrilee,Berowra Railway Station,4.164953116594558,-33.6127484,151.1055143,0,0,0,1,0
57,Beverley Park,Carlton Railway Station,1.3463849623258581,-33.9787995,151.1316285,1,0,0,0,0
58,Beverly Hills,Beverly Hills Railway Station,0.0,-33.94974439999999,151.0817342,1,0,0,0,0
59,Bexley,Bexley North Railway Station,1.1247507198686695,-33.952354299999996,151.1181427,1,0,0,0,0
60,Bexley North,Bexley North Railway Station,0.0,-33.942536499999996,151.1152081,1,0,0,0,0
61,Bickley Vale,Macarthur Railway Station,12.50211287430005,-34.078956299999994,150.6617103,0,1,0,0,0
62,Bidwill,Mount Druitt Railway Station,4.301112056789416,-33.731947600000005,150.823408,0,0,0,1,0
63,Bilgola Beach,Berowra Railway Station,16.51555972042935,-33.644316499999995,151.324484,0,1,0,0,0
64,Bilgola Plateau,Berowra Railway Station,15.71609251219148,-33.6438092,151.31585800000002,0,1,0,0,0
65,Birchgrove,Waverton Railway Station,2.000498291526975,-33.8507685,151.1830352,1,0,0,0,0
66,Birrong,Birrong Railway Station,0.0,-33.891862200000006,151.0201957,1,0,0,0,0
67,Blackett,Mount Druitt Railway Station,3.7418178324049496,-33.7372232,150.815,0,0,0,1,0
68,Blacktown,Blacktown Railway Station,0.0,-33.773988200000005,150.9036186,1,0,0,0,0
69,Blair Athol,Macarthur Railway Station,1.0501500331846005,-34.0627778,150.7997222,1,0,0,0,0
70,Blairmount,Macarthur Railway Station,2.661294603557515,-34.048333299999996,150.7927778,0,0,0,1,0
71,Blakehurst,Allawah Railway Station,2.3097868159319557,-33.9898519,151.10855959999998,0,0,0,1,0
72,Bligh Park,Clarendon Railway Station,3.20366816973253,-33.6383333,150.7980556,0,0,0,1,0
73,Bondi,Bondi Junction Railway Station,1.2193539278048493,-33.893055600000004,151.2633333,1,0,0,0,0
74,Bondi Beach,Bondi Junction Railway Station,2.0732443809753294,-33.890697700000004,151.2724119,0,0,0,1,0
75,Bondi Junction,Bondi Junction Railway Station,0.0,-33.8930034,151.2501228,1,0,0,0,0
76,Bonnet Bay,Jannali Railway Station,1.208713464490519,-34.0101087,151.053572,1,0,0,0,0
77,Bonnyrigg,Cabramatta Railway Station,4.292548538889732,-33.8936698,150.888281,0,0,0,1,0
78,Bonnyrigg Heights,Cabramatta Railway Station,6.0394488036579626,-33.8912101,150.8695795,0,0,1,0,0
79,Bossley Park,Cabramatta Railway Station,6.117207374188473,-33.8622222,150.8844444,0,0,1,0,0
80,Botany,Mascot Railway Station,2.128965309588682,-33.947829,151.1990644,0,0,0,1,0
81,Bow Bowing,Minto Railway Station,1.980850990438976,-34.016146299999996,150.8405606,1,0,0,0,0
82,Box Hill,Vineyard Railway Station,2.9520324454373816,-33.6425,150.8988889,0,0,0,1,0
83,Bradbury,Campbelltown Railway Station,2.015786329641639,-34.0816667,150.81777780000002,1,0,0,0,0
84,Breakfast Point,Concord West Railway Station,1.762072301944847,-33.842276899999995,151.1111054,1,0,0,0,0
85,Brighton-Le-Sands,Rockdale Railway Station,1.2066672141351282,-33.958094700000004,151.15260519999998,1,0,0,0,0
86,Bringelly,Leppington Railway Station,7.305158412829003,-33.9393505,150.7309705,0,0,1,0,0
87,Bronte,Bondi Junction Railway Station,1.7725163923178924,-33.904212799999996,151.2637774,1,0,0,0,0
88,Brooklyn,Berowra Railway Station,11.485133857215352,-33.546912899999995,151.22652490000002,0,1,0,0,0
89,Brookvale,Roseville Railway Station,8.423377270809047,-33.7628854,151.2707024,0,0,1,0,0
90,Bundeena,Cronulla Railway Station,3.0061809379976037,-34.0845443,151.15123480000003,0,0,0,1,0
91,Bungarribee,Rooty Hill Railway Station,2.6588023694238583,-33.7822832,150.86498999999998,0,0,0,1,0
92,Burraneer,Cronulla Railway Station,1.549856816413788,-34.06446029999999,151.1377905,1,0,0,0,0
93,Burwood,Burwood Railway Station,0.0,-33.8784753,151.104049,1,0,0,0,0
94,Burwood Heights,Burwood Railway Station,1.2197995259965806,-33.889444399999995,151.1038889,1,0,0,0,0
95,Busby,Liverpool Railway Station,3.8408064137192617,-33.915,150.8844444,0,0,0,1,0
96,Cabarita,Concord West Railway Station,2.2530620211530454,-33.847502899999995,151.1158878,0,0,0,1,0
97,Cabramatta,Cabramatta Railway Station,0.0,-33.8983188,150.9344502,1,0,0,0,0
98,Cabramatta West,Cabramatta Railway Station,1.9713157444166547,-33.8916949,150.914639,1,0,0,0,0
99,Caddens,Kingswood Railway Station,1.5275321528334733,-33.773603,150.72886430000003,1,0,0,0,0
100,Cambridge Gardens,Kingswood Railway Station,2.6230087343142174,-33.7377967,150.72055559999998,0,0,0,1,0
101,Cambridge Park,Kingswood Railway Station,1.3519768386741113,-33.750136499999996,150.7269025,1,0,0,0,0
102,Camden,Macarthur Railway Station,9.536386928726824,-34.0532323,150.6961705,0,0,1,0,0
103,Camden South,Macarthur Railway Station,9.340043011695734,-34.0829554,150.69664719999997,0,0,1,0,0
104,Camellia,Clyde Railway Station,1.9306880404199056,-33.8197799,151.0346488,1,0,0,0,0
105,Cammeray,North Sydney Railway Station,1.5566132951578608,-33.8222738,151.21398680000001,1,0,0,0,0
106,Campbelltown,Campbelltown Railway Station,0.0,-34.063691399999996,150.8206159,1,0,0,0,0
107,Camperdown,Newtown Railway Station,0.7229944267969133,-33.8896116,151.1800986,1,0,0,0,0
108,Campsie,Campsie Railway Station,0.0,-33.9143894,151.10321330000002,1,0,0,0,0
109,Canada Bay,Croydon Railway Station,1.4600724535690108,-33.8646692,151.1151554,1,0,0,0,0
110,Canley Heights,Canley Vale Railway Station,1.9545735314443806,-33.881666700000004,150.9261111,1,0,0,0,0
111,Canley Vale,Canley Vale Railway Station,0.0,-33.8871356,150.9462342,1,0,0,0,0
112,Canoelands,Berowra Railway Station,15.446645244821928,-33.4990952,151.08074150000002,0,1,0,0,0
113,Canterbury,Canterbury Railway Station,0.0,-33.913023100000004,151.1170149,1,0,0,0,0
114,Caringbah,Caringbah Railway Station,0.0,-34.0354477,151.12480180000003,1,0,0,0,0
115,Caringbah South,Woolooware Railway Station,2.1551791828166444,-34.055449100000004,151.1205937,0,0,0,1,0
116,Carlingford,Epping Railway Station,3.2003263607029213,-33.774494700000005,151.04752150000002,0,0,0,1,0
117,Carlton,Carlton Railway Station,0.4045309061694624,-33.9707904,151.12137040000002,1,0,0,0,0
118,Carnes Hill,Edmondson Park Railway Station,2.832559346919041,-33.9378294,150.8504602,0,0,0,1,0
119,Carramar,Carramar Railway Station,0.0,-33.883888899999995,150.9636111,1,0,0,0,0
120,Cartwright,Casula Railway Station,3.0389921960696045,-33.9250864,150.8913549,0,0,0,1,0
121,Castle Cove,Roseville Railway Station,2.951513168956051,-33.786528499999996,151.21431869999998,0,0,0,1,0
122,Castle Hill,Beecroft Railway Station,5.783180177589034,-33.7315318,151.0071718,0,0,1,0,0
123,Castlecrag,Artarmon Railway Station,3.300920888070997,-33.8003455,151.2197795,0,0,0,1,0
124,Castlereagh,Emu Plains Railway Station,9.416101178998934,-33.664796200000005,150.6844521,0,0,1,0,0
125,Casula,Casula Railway Station,0.0,-33.9522222,150.89527780000003,1,0,0,0,0
126,Catherine Field,Leppington Railway Station,5.819762763562996,-33.9926657,150.7650245,0,0,1,0,0
127,Cattai,Windsor Railway Station,10.823733295210733,-33.5482394,150.9164045,0,1,0,0,0
128,Cawdor,Macarthur Railway Station,11.874255752890852,-34.0996474,150.6726512,0,1,0,0,0
129,Cecil Hills,Liverpool Railway Station,7.637574652474485,-33.89,150.8511111,0,0,1,0,0
130,Cecil Park,Leppington Railway Station,6.927197987727754,-33.8922547,150.8135524,0,0,1,0,0
131,Centennial Park,Bondi Junction Railway Station,1.58963188994819,-33.8977778,151.2338889,1,0,0,0,0
132,Chatswood,Chatswood Railway Station,0.0,-33.794479700000004,151.1818571,1,0,0,0,0
133,Chatswood West,Lindfield Railway Station,1.7471565519660404,-33.7960029,151.1597081,1,0,0,0,0
134,Cheltenham,Cheltenham Railway Station,0.0,-33.756944399999995,151.0775,1,0,0,0,0
135,Cherrybrook,Pennant Hills Railway Station,2.969280799827217,-33.722777799999996,151.0461111,0,0,0,1,0
136,Chester Hill,Chester Hill Railway Station,0.0,-33.881666700000004,151.0011111,1,0,0,0,0
137,Chifley,Mascot Railway Station,6.149708698487953,-33.970281299999996,151.2394867,0,0,1,0,0
138,Chippendale,Redfern Railway Station,0.847618086063844,-33.886329100000005,151.19982109999998,1,0,0,0,0
139,Chipping Norton,Warwick Farm Railway Station,2.692437418615847,-33.919686999999996,150.96307109999998,0,0,0,1,0
140,Chiswick,Croydon Railway Station,3.725318607659275,-33.849833700000005,151.1378781,0,0,0,1,0
141,Chullora,Berala Railway Station,2.271554354687656,-33.8925,151.0477778,0,0,0,1,0
142,Church Point,Berowra Railway Station,13.036667149158628,-33.65009570000001,151.2853102,0,1,0,0,0
143,Clarendon,Clarendon Railway Station,0.0,-33.6105511,150.7888909,1,0,0,0,0
144,Clareville,Berowra Railway Station,15.487541930030114,-33.6320071,151.3145323,0,1,0,0,0
145,Claymore,Campbelltown Railway Station,2.103375834359773,-34.046944399999994,150.81,0,0,0,1,0
146,Clemton Park,Campsie Railway Station,1.2726959344426279,-33.9258322,151.1029075,1,0,0,0,0
147,Clovelly,Bondi Junction Railway Station,2.4344449426108006,-33.9126387,151.26179040000002,0,0,0,1,0
148,Clyde,Clyde Railway Station,0.0,-33.833532,151.02188909999998,1,0,0,0,0
149,Coasters Retreat,Berowra Railway Station,14.225656741277675,-33.6048099,151.29880419999998,0,1,0,0,0
150,Cobbitty,Burwood Railway Station,2.000883569733502,-33.8962562,151.1007201558444,1,0,0,0,0
151,Colebee,Quakers Hill Railway Station,2.604834029540903,-33.7270077,150.8521783,0,0,0,1,0
152,Collaroy,Roseville Railway Station,11.885306903550449,-33.7382194,151.2996618,0,1,0,0,0
153,Collaroy Plateau,Roseville Railway Station,11.577513574509684,-33.7303841,151.29103940000002,0,1,0,0,0
154,Colyton,Mount Druitt Railway Station,2.6275754428984266,-33.7822222,150.7958333,0,0,0,1,0
155,Como,Como Railway Station,0.47435088981804047,-34.0032179,151.0631257,1,0,0,0,0
