,Cluster 0,Cluster 1,Cluster 3,Cluster 2,Cluster 4
count,272.0,7.0,77.0,12.0,13.0
mean,1.3,33.8,4.6,17.8,11.4
std,0.7597220968307528,5.167025909682198,1.289929170447967,2.680782686303745,1.7980572598574176
min,0.024374010995086383,27.33706920005818,2.9994042214079664,14.66486410592233,8.918147477553976
25%,0.6637016671878831,30.1738981083485,3.568104000750847,16.34458408928623,9.635186098139382
50%,1.1634954244333513,32.62436797210465,4.288708285505171,16.81867414914823,11.39740319297269
75%,1.8676162587238931,37.32569519888088,5.615960985846857,18.736127035370142,13.343154366963546
max,2.9347199753298976,41.665202052988015,7.9179785044687625,22.84399617356181,13.567073035229551
